customer_id,frequency,monetary,last_purchase,segment
CUST0102,13,221916.64,2024-12-10,Champion
CUST0020,8,220941.02,2024-11-10,Champion
CUST0378,9,216513.9,2024-11-30,Champion
CUST0243,10,214906.36,2024-11-08,Champion
CUST0376,12,214660.2,2024-11-24,Champion
CUST0344,11,213047.57,2024-10-29,Champion
CUST0483,6,212612.64,2024-12-04,Champion
CUST0186,15,212132.38,2024-12-08,Champion
CUST0497,8,211772.06,2024-11-17,Champion
CUST0240,11,211488.13,2024-12-04,Champion
CUST0140,8,210747.99,2024-12-28,Champion
CUST0182,6,209232.38,2024-11-24,Champion
CUST0008,12,208537.03,2024-06-20,Champion
CUST0064,5,207925.77,2024-02-23,Champion
CUST0155,12,207031.96,2024-11-17,Champion
CUST0316,13,205717.11,2024-11-30,Champion
CUST0257,8,202293.34,2024-12-04,Champion
CUST0305,12,201528.42,2024-10-12,Champion
CUST0066,7,201526.83,2024-05-05,Champion
CUST0434,16,200494.62,2024-11-22,Champion
CUST0093,16,199092.46,2024-10-23,Champion
CUST0385,10,198337.98,2024-12-12,Champion
CUST0484,10,196995.37,2024-07-12,Champion
CUST0393,14,195209.78,2024-10-19,Champion
CUST0244,8,194970.11,2024-09-18,Champion
CUST0158,13,192934.76,2024-12-21,Champion
CUST0159,8,192575.87,2024-10-09,Champion
CUST0149,14,192387.65,2024-12-31,Champion
CUST0073,9,192293.78,2024-11-21,Champion
CUST0089,13,192271.08,2024-10-21,Champion
CUST0441,9,190012.07,2024-12-30,Champion
CUST0215,8,187083.38,2024-11-21,Champion
CUST0080,7,186915.77,2024-04-25,Champion
CUST0022,10,183893.47,2024-11-26,Champion
CUST0138,13,183730.45,2024-12-24,Champion
CUST0201,8,183708.41,2024-07-26,Champion
CUST0454,9,183665.06,2024-12-09,Champion
CUST0007,15,183076.72,2024-12-06,Champion
CUST0221,10,181218.43,2024-07-23,Champion
CUST0346,10,179394.43,2024-12-24,Champion
CUST0033,6,179139.3,2024-12-20,Champion
CUST0204,11,178855.72,2024-10-18,Champion
CUST0090,13,178369.58,2024-10-04,Champion
CUST0488,7,175891.66,2024-10-13,Champion
CUST0197,10,175717.76,2024-09-22,Champion
CUST0295,14,175486.72,2024-12-19,Champion
CUST0311,9,174322.87,2024-12-26,Champion
CUST0426,9,173760.69,2024-10-28,Champion
CUST0188,12,173479.24,2024-10-15,Champion
CUST0493,4,171775.13,2024-08-27,Champion
CUST0200,10,170480.14,2024-11-30,Champion
CUST0479,13,169758.06,2024-11-16,Champion
CUST0471,8,168740.18,2024-12-20,Champion
CUST0114,7,167236.75,2024-06-20,Champion
CUST0333,7,166948.23,2024-11-26,Loyal
CUST0411,12,165813.52,2024-10-20,Loyal
CUST0444,9,164682.56,2024-10-15,Loyal
CUST0123,7,164539.55,2024-12-24,Loyal
CUST0128,11,163875.15,2024-07-05,Loyal
CUST0037,10,163047.57,2024-11-19,Loyal
CUST0405,12,161681.17,2024-12-12,Loyal
CUST0151,9,160601.55,2024-12-25,Loyal
CUST0366,12,160423.68,2024-10-27,Loyal
CUST0040,9,159636.38,2024-10-04,Loyal
CUST0126,15,158445.41,2024-12-28,Loyal
CUST0053,11,157462.86,2024-05-18,Loyal
CUST0265,11,157460.66,2024-09-18,Loyal
CUST0044,14,157325.26,2024-09-03,Loyal
CUST0247,10,157058.26,2024-05-03,Loyal
CUST0307,10,156396.25,2024-12-03,Loyal
CUST0303,10,156128.88,2024-12-28,Loyal
CUST0476,7,154187.04,2024-11-15,Loyal
CUST0325,13,153298.0,2024-10-13,Loyal
CUST0228,10,152319.7,2024-09-29,Loyal
CUST0131,13,152209.23,2024-10-27,Loyal
CUST0099,10,152202.09,2024-11-12,Loyal
CUST0224,6,152015.73,2024-08-25,Loyal
CUST0203,13,151172.82,2024-08-28,Loyal
CUST0329,12,151098.82,2024-12-05,Loyal
CUST0318,6,149940.78,2024-12-28,Loyal
CUST0074,11,149758.71,2024-12-27,Loyal
CUST0231,10,149684.33,2024-10-12,Loyal
CUST0477,9,149302.97,2024-12-13,Loyal
CUST0456,8,148876.64,2024-06-04,Loyal
CUST0060,14,148504.28,2024-10-20,Loyal
CUST0079,8,148363.01,2024-08-28,Loyal
CUST0308,6,148312.9,2024-12-15,Loyal
CUST0154,8,148286.25,2024-06-18,Loyal
CUST0266,9,147005.16,2024-07-30,Loyal
CUST0438,11,146484.51,2024-12-24,Loyal
CUST0032,9,146103.1,2024-11-14,Loyal
CUST0428,8,145366.37,2024-07-26,Loyal
CUST0171,14,145325.21,2024-12-24,Loyal
CUST0396,14,144555.9,2024-05-18,Loyal
CUST0370,9,143823.18,2024-10-23,Loyal
CUST0415,6,143318.43,2024-12-09,Loyal
CUST0363,13,142478.78,2024-09-20,Loyal
CUST0292,7,141443.49,2024-10-11,Loyal
CUST0468,9,140847.88,2024-08-08,Loyal
CUST0130,13,140246.53,2024-12-15,Loyal
CUST0023,13,140206.55,2024-11-22,Loyal
CUST0088,15,139399.34,2024-11-29,Loyal
CUST0420,9,139154.55,2024-11-01,Loyal
CUST0284,9,139079.78,2024-12-18,Loyal
CUST0105,10,139023.55,2024-07-12,Loyal
CUST0402,10,138627.38,2024-08-06,Loyal
CUST0212,5,137889.22,2024-01-22,Loyal
CUST0245,10,137578.23,2024-09-11,Loyal
CUST0331,10,137272.43,2024-12-10,Loyal
CUST0350,9,137084.24,2024-10-25,Loyal
CUST0134,11,136884.14,2024-10-22,Loyal
CUST0381,10,135896.72,2024-10-10,Loyal
CUST0034,9,135758.69,2024-12-22,Loyal
CUST0072,13,135122.34,2024-11-30,Loyal
CUST0218,11,134467.88,2024-12-07,Loyal
CUST0153,10,132958.93,2024-10-02,Loyal
CUST0045,8,132698.21,2024-11-10,Loyal
CUST0249,8,132088.87,2024-09-22,Loyal
CUST0121,7,130604.16,2024-09-17,Loyal
CUST0424,12,130539.72,2024-12-06,Loyal
CUST0304,14,129184.15,2024-12-05,Loyal
CUST0445,6,129058.88,2024-09-21,Loyal
CUST0011,12,128950.84,2024-11-22,Loyal
CUST0043,7,128839.57,2024-12-02,Loyal
CUST0377,8,127179.2,2024-06-21,Loyal
CUST0408,7,126067.15,2024-08-16,Loyal
CUST0293,12,125514.2,2024-05-30,Loyal
CUST0355,10,124363.41,2024-11-04,Loyal
CUST0097,17,123755.65,2024-12-19,Loyal
CUST0340,5,123456.34,2024-10-25,Loyal
CUST0095,11,122957.25,2024-12-20,Loyal
CUST0230,11,122950.54,2024-12-03,Loyal
CUST0460,11,122494.85,2024-09-16,Loyal
CUST0119,5,122331.97,2024-12-25,Loyal
CUST0003,8,121833.74,2024-09-24,Loyal
CUST0282,9,121730.88,2024-11-23,Loyal
CUST0021,9,121525.61,2024-08-11,Loyal
CUST0475,13,121500.54,2024-08-28,Loyal
CUST0421,10,121392.61,2024-08-19,Loyal
CUST0278,16,120252.19,2024-09-05,Loyal
CUST0407,11,120046.59,2024-12-09,Loyal
CUST0058,6,120030.37,2024-09-09,Loyal
CUST0418,14,118832.35,2024-12-21,Loyal
CUST0354,10,118778.82,2024-09-22,Loyal
CUST0146,6,118006.44,2024-09-01,Loyal
CUST0414,10,117912.38,2024-08-28,Loyal
CUST0189,10,117193.11,2024-12-09,Loyal
CUST0361,8,117024.59,2024-12-09,Loyal
CUST0002,10,116408.21,2024-09-04,Loyal
CUST0213,6,116404.41,2024-12-25,Loyal
CUST0223,8,115700.87,2024-09-23,Loyal
CUST0416,11,115535.07,2024-08-25,Loyal
CUST0112,12,115460.8,2024-12-04,Loyal
CUST0246,8,114396.25,2024-12-07,Loyal
CUST0451,10,114370.97,2024-12-10,Loyal
CUST0005,6,112357.22,2024-06-08,Loyal
CUST0478,11,112069.29,2024-11-11,Loyal
CUST0237,11,111742.97,2024-11-09,Loyal
CUST0271,7,111250.36,2024-12-03,Loyal
CUST0347,7,111138.0,2024-09-22,Loyal
CUST0214,5,111049.76,2024-12-16,Loyal
CUST0152,9,111047.72,2024-11-03,Loyal
CUST0050,10,110690.57,2024-12-07,Loyal
CUST0081,8,109906.45,2024-11-05,Loyal
CUST0495,13,109391.42,2024-09-11,Loyal
CUST0328,12,109073.41,2024-11-25,Loyal
CUST0229,7,109004.43,2024-12-29,Loyal
CUST0253,9,109000.03,2024-12-31,Loyal
CUST0270,8,108872.12,2024-03-13,Loyal
CUST0220,10,108857.57,2024-12-09,Loyal
CUST0046,11,108446.96,2024-11-15,Loyal
CUST0467,8,108359.84,2024-10-19,Loyal
CUST0314,5,107879.57,2024-11-15,Loyal
CUST0341,10,107826.57,2024-08-07,Loyal
CUST0285,11,107452.42,2024-12-23,Loyal
CUST0469,9,107380.03,2024-12-18,Loyal
CUST0436,5,106998.45,2024-12-15,Loyal
CUST0394,13,106861.59,2024-12-11,Loyal
CUST0055,8,106576.79,2024-06-18,Loyal
CUST0076,11,106214.63,2024-08-27,Potential
CUST0403,7,105870.25,2024-08-29,Potential
CUST0217,14,105148.87,2024-11-06,Potential
CUST0268,14,104851.41,2024-12-07,Potential
CUST0413,8,104566.1,2024-12-30,Potential
CUST0010,10,104418.95,2024-09-25,Potential
CUST0256,13,103593.31,2024-12-15,Potential
CUST0071,8,103551.06,2024-12-21,Potential
CUST0492,7,103514.45,2024-08-17,Potential
CUST0139,11,103440.19,2024-12-09,Potential
CUST0238,9,103360.99,2024-12-20,Potential
CUST0227,10,103343.14,2024-08-04,Potential
CUST0195,13,101697.43,2024-11-27,Potential
CUST0177,13,101377.68,2024-12-18,Potential
CUST0463,8,100540.26,2024-12-18,Potential
CUST0150,4,99784.15,2024-11-26,Potential
CUST0375,12,99366.93,2024-10-18,Potential
CUST0352,8,99339.9,2024-08-09,Potential
CUST0248,12,99331.55,2024-10-01,Potential
CUST0181,6,98995.6,2024-10-31,Potential
CUST0199,13,96609.03,2024-11-02,Potential
CUST0250,13,96573.93,2024-09-18,Potential
CUST0367,6,96493.95,2024-08-05,Potential
CUST0025,6,96117.4,2024-06-08,Potential
CUST0300,10,95531.18,2024-11-02,Potential
CUST0209,11,95398.94,2024-12-14,Potential
CUST0499,6,95179.07,2024-12-24,Potential
CUST0173,4,94254.9,2024-12-05,Potential
CUST0135,8,93929.39,2024-10-30,Potential
CUST0035,7,93683.06,2024-11-10,Potential
CUST0196,12,93230.35,2024-11-07,Potential
CUST0222,7,93158.83,2024-11-19,Potential
CUST0057,11,92210.27,2024-11-06,Potential
CUST0423,7,91899.55,2024-12-11,Potential
CUST0301,11,91520.93,2024-06-04,Potential
CUST0406,7,91448.73,2024-09-03,Potential
CUST0208,9,90852.01,2024-06-30,Potential
CUST0466,6,90596.07,2024-06-18,Potential
CUST0017,10,89841.13,2024-12-08,Potential
CUST0433,10,89812.09,2024-09-23,Potential
CUST0180,4,89726.21,2024-01-12,Potential
CUST0092,9,89026.29,2024-10-29,Potential
CUST0371,8,88941.05,2024-11-13,Potential
CUST0319,10,88892.81,2024-11-03,Potential
CUST0210,8,88787.37,2024-12-22,Potential
CUST0430,11,88062.06,2024-11-29,Potential
CUST0317,6,87824.11,2024-03-28,Potential
CUST0156,10,87144.75,2024-12-22,Potential
CUST0024,9,87071.24,2024-10-30,Potential
CUST0297,12,86971.07,2024-12-25,Potential
CUST0288,9,86816.66,2024-12-15,Potential
CUST0345,13,86699.5,2024-12-05,Potential
CUST0458,6,85479.07,2024-09-21,Potential
CUST0098,11,85348.48,2024-12-26,Potential
CUST0251,6,84639.9,2024-11-18,Potential
CUST0277,7,84621.72,2024-05-04,Potential
CUST0320,11,84148.58,2024-12-07,Potential
CUST0490,8,82869.22,2024-08-11,Potential
CUST0016,11,82553.23,2024-11-26,Potential
CUST0302,9,81959.4,2024-09-18,Potential
CUST0390,11,81462.82,2024-07-09,Potential
CUST0115,12,80994.31,2024-12-19,Potential
CUST0400,7,80442.33,2024-12-24,Potential
CUST0380,10,80313.95,2024-12-12,Potential
CUST0160,9,80244.27,2024-10-26,Potential
CUST0157,13,80084.21,2024-08-04,Potential
CUST0431,11,79836.64,2024-11-22,Potential
CUST0335,8,78718.08,2024-11-06,Potential
CUST0078,14,78514.66,2024-07-15,Potential
CUST0235,10,76442.43,2024-10-31,Potential
CUST0198,5,76224.78,2024-12-17,Potential
CUST0094,8,75723.73,2024-12-29,Potential
CUST0417,11,74989.83,2024-12-12,Potential
CUST0262,9,74976.57,2024-09-14,Potential
CUST0372,10,73888.27,2024-06-08,Potential
CUST0148,8,73828.47,2024-12-11,Potential
CUST0077,16,73530.55,2024-12-24,Potential
CUST0070,9,73485.93,2024-11-24,Potential
CUST0232,11,73411.99,2024-10-22,Potential
CUST0065,8,73253.18,2024-09-14,Potential
CUST0491,6,73080.51,2024-08-14,Potential
CUST0117,13,73040.47,2024-10-18,Potential
CUST0481,10,72743.06,2024-11-10,Potential
CUST0309,6,72472.25,2024-10-24,Potential
CUST0216,9,72127.15,2024-12-20,Potential
CUST0211,7,71571.93,2024-11-14,Potential
CUST0113,9,71552.22,2024-08-20,Potential
CUST0028,8,71507.8,2024-12-21,Potential
CUST0321,6,70917.94,2024-12-26,Potential
CUST0239,9,69874.43,2024-09-19,Potential
CUST0369,7,69644.74,2024-09-21,Potential
CUST0252,9,69528.93,2024-11-04,Potential
CUST0324,8,69486.15,2024-05-28,Potential
CUST0291,10,69452.94,2024-09-16,Potential
CUST0234,7,68823.23,2024-11-05,Potential
CUST0162,10,68669.22,2024-11-12,Potential
CUST0206,7,67962.53,2024-11-07,Potential
CUST0176,12,67422.7,2024-11-20,Potential
CUST0049,5,67270.36,2024-12-14,Potential
CUST0038,7,67085.42,2024-11-24,Potential
CUST0191,6,67027.99,2024-11-03,Potential
CUST0498,10,67008.84,2024-11-27,Potential
CUST0395,12,66083.28,2024-12-13,Potential
CUST0120,8,65621.77,2024-09-02,Potential
CUST0163,7,65324.91,2024-12-01,Potential
CUST0364,6,65119.16,2024-11-06,Potential
CUST0399,9,64245.81,2024-12-11,Potential
CUST0447,8,64162.31,2024-11-30,Potential
CUST0392,9,62821.76,2024-12-07,Potential
CUST0275,4,62421.34,2024-12-20,Potential
CUST0334,6,62223.71,2024-12-27,Potential
CUST0047,11,62198.37,2024-10-03,Potential
CUST0027,7,60953.13,2024-08-09,Potential
CUST0412,14,60900.18,2024-09-29,Potential
CUST0457,7,60859.64,2024-01-03,Potential
CUST0465,6,60534.06,2024-07-27,Potential
CUST0360,8,58690.59,2024-09-11,Potential
CUST0397,9,58629.82,2024-09-11,Potential
CUST0194,8,58394.26,2024-12-01,Potential
CUST0449,13,58163.97,2024-12-20,Potential
CUST0425,6,57548.86,2024-01-09,Potential
CUST0322,9,56999.36,2024-06-30,Potential
CUST0039,7,56833.36,2024-12-23,Potential
CUST0118,14,56813.56,2024-11-03,Potential
CUST0165,14,56803.07,2024-08-31,Potential
CUST0106,6,56676.08,2024-08-21,At Risk
CUST0312,11,56620.46,2024-12-01,At Risk
CUST0326,6,55520.83,2024-10-10,At Risk
CUST0273,8,55398.98,2024-12-07,At Risk
CUST0496,6,55005.1,2024-04-20,At Risk
CUST0051,8,54706.62,2024-10-05,At Risk
CUST0494,8,54481.94,2024-07-31,At Risk
CUST0349,5,54400.07,2024-08-27,At Risk
CUST0398,10,53745.45,2024-11-05,At Risk
CUST0401,9,52757.26,2024-12-22,At Risk
CUST0306,8,51856.06,2024-06-15,At Risk
CUST0109,7,51283.83,2024-03-29,At Risk
CUST0446,9,51077.75,2024-09-25,At Risk
CUST0450,8,51028.79,2024-11-12,At Risk
CUST0219,6,50166.55,2024-11-21,At Risk
CUST0379,4,49948.13,2024-09-09,At Risk
CUST0184,8,49478.43,2024-12-22,At Risk
CUST0348,14,49240.17,2024-12-29,At Risk
CUST0440,7,49035.59,2024-10-13,At Risk
CUST0489,8,48234.85,2024-08-20,At Risk
CUST0082,12,48058.75,2024-09-10,At Risk
CUST0274,9,47932.82,2024-09-28,At Risk
CUST0404,8,47766.41,2024-11-09,At Risk
CUST0279,5,46492.33,2024-12-07,At Risk
CUST0036,7,46383.05,2024-08-12,At Risk
CUST0432,9,46078.91,2024-12-14,At Risk
CUST0166,8,45877.91,2024-09-11,At Risk
CUST0261,14,45639.47,2024-09-05,At Risk
CUST0384,5,44791.84,2024-10-16,At Risk
CUST0259,5,44425.65,2024-11-03,At Risk
CUST0419,4,44240.4,2024-06-28,At Risk
CUST0086,6,44087.04,2024-10-14,At Risk
CUST0225,7,43572.89,2024-11-20,At Risk
CUST0133,12,43535.0,2024-11-06,At Risk
CUST0258,5,43156.85,2024-11-28,At Risk
CUST0164,8,43021.45,2024-11-10,At Risk
CUST0031,10,42891.12,2024-04-13,At Risk
CUST0185,9,42445.7,2024-12-29,At Risk
CUST0241,6,42426.23,2024-11-23,At Risk
CUST0018,6,41653.23,2024-12-29,At Risk
CUST0205,4,41593.36,2024-01-15,At Risk
CUST0242,8,41339.89,2024-09-16,At Risk
CUST0382,8,40976.43,2024-09-19,At Risk
CUST0063,8,40709.12,2024-10-27,At Risk
CUST0435,8,40301.94,2024-12-29,At Risk
CUST0276,7,39646.02,2024-10-11,At Risk
CUST0283,9,39621.3,2024-10-22,At Risk
CUST0041,9,39529.41,2024-10-17,At Risk
CUST0391,11,39116.1,2024-12-21,At Risk
CUST0299,9,38663.91,2024-09-26,At Risk
CUST0290,12,37579.69,2024-10-15,At Risk
CUST0459,14,37124.26,2024-11-11,At Risk
CUST0075,8,36912.34,2024-10-10,At Risk
CUST0464,8,36118.91,2024-12-23,At Risk
CUST0068,7,35825.18,2024-05-08,At Risk
CUST0059,8,34835.61,2024-08-09,At Risk
CUST0351,10,34137.04,2024-11-18,At Risk
CUST0429,5,34045.88,2024-07-15,At Risk
CUST0327,4,34041.36,2024-07-20,At Risk
CUST0175,14,34010.64,2024-10-20,At Risk
CUST0101,7,33445.46,2024-11-27,At Risk
CUST0470,9,33256.17,2024-04-16,At Risk
CUST0383,9,32922.55,2024-08-11,At Risk
CUST0004,9,32530.53,2024-10-04,At Risk
CUST0030,8,31483.62,2024-11-23,At Risk
CUST0061,7,31432.09,2024-04-18,At Risk
CUST0260,10,31410.03,2024-11-02,At Risk
CUST0362,7,31327.96,2024-06-26,At Risk
CUST0169,8,30916.4,2024-11-17,At Risk
CUST0015,8,29616.16,2024-06-23,At Risk
CUST0280,7,29567.2,2024-12-19,At Risk
CUST0255,8,29403.56,2024-12-17,At Risk
CUST0125,11,28991.67,2024-11-22,At Risk
CUST0054,9,28767.44,2024-11-06,At Risk
CUST0453,8,28675.05,2024-12-03,At Risk
CUST0373,8,28214.25,2024-09-18,At Risk
CUST0500,9,27350.19,2024-12-07,At Risk
CUST0026,11,27306.84,2024-11-07,At Risk
CUST0387,11,27286.75,2024-11-28,At Risk
CUST0168,7,26671.98,2024-10-26,At Risk
CUST0006,6,26653.49,2024-12-07,At Risk
CUST0100,6,26432.52,2024-09-16,At Risk
CUST0132,7,26367.99,2024-10-10,At Risk
CUST0147,8,26043.25,2024-07-05,At Risk
CUST0124,9,25345.21,2024-10-06,At Risk
CUST0122,2,24783.2,2024-09-02,At Risk
CUST0172,6,24597.21,2024-12-29,At Risk
CUST0461,10,24555.85,2024-12-27,At Risk
CUST0014,7,24127.28,2024-08-17,At Risk
CUST0144,6,22734.25,2024-06-06,At Risk
CUST0013,6,22583.99,2024-12-20,At Risk
CUST0410,9,22053.89,2024-12-24,At Risk
CUST0452,6,21433.27,2024-10-22,At Risk
CUST0110,5,20794.25,2024-10-14,At Risk
CUST0298,10,20526.39,2024-07-09,At Risk
CUST0129,8,20250.72,2024-05-27,At Risk
CUST0083,7,19926.47,2024-11-14,At Risk
CUST0069,9,19098.73,2024-11-11,At Risk
CUST0388,6,18750.44,2024-11-20,At Risk
CUST0287,6,18728.61,2024-12-28,At Risk
CUST0009,8,18704.18,2024-12-26,At Risk
CUST0368,4,18461.29,2024-10-19,At Risk
CUST0289,6,17695.96,2024-10-10,At Risk
CUST0236,9,16998.99,2024-11-22,At Risk
CUST0116,6,16858.06,2024-09-08,At Risk
CUST0310,5,16819.12,2024-11-12,At Risk
CUST0226,5,16681.05,2024-10-21,At Risk
CUST0145,5,15754.78,2024-09-29,At Risk
CUST0202,8,13250.26,2024-09-16,At Risk
CUST0127,4,12793.03,2024-02-12,At Risk
CUST0167,7,12632.23,2024-11-30,At Risk
CUST0437,5,10288.62,2024-12-15,At Risk
CUST0365,5,9953.38,2024-08-19,At Risk
CUST0193,5,8400.04,2024-12-20,At Risk
CUST0485,6,7961.86,2024-05-30,At Risk
CUST0487,5,6370.84,2024-09-26,At Risk
CUST0427,6,6229.24,2024-12-24,At Risk
CUST0486,4,4307.45,2024-08-22,At Risk
CUST0103,4,4211.96,2024-05-26,At Risk
CUST0183,4,3902.44,2024-09-23,At Risk
CUST0269,4,3467.81,2024-04-08,At Risk
CUST0062,5,3441.54,2024-11-29,At Risk
CUST0482,3,2987.97,2024-07-21,At Risk
CUST0179,5,2714.79,2023-10-07,At Risk
CUST0422,1,2298.01,2023-08-18,At Risk
